Row ID;Order ID;Order Date;Order Priority;Order Quantity;Sales;Discount;Ship Mode;Profit;Unit Price;Shipping Cost;Customer Name;Province;Region;Customer Segment;Product Category;Product Sub-Category;Product Name;Product Container;Product Base Margin;Ship Date
1;3;13/10/2010;Low;6;261,54;0,04;Regular Air;-213,25;38,94;35;Muhammed MacIntyre;Nunavut;Nunavut;Small Business;Office Supplies;Storage & Organization;Eldon Base for stackable storage shelf, platinum;Large Box;0,8;20/10/2010
49;293;01/10/2012;High;49;10123,02;0,07;Delivery Truck;457,81;208,16;68,02;Barry French;Nunavut;Nunavut;Consumer;Office Supplies;Appliances;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";Jumbo Drum;0,58;02/10/2012
80;483;10/07/2011;High;30;4965,7595;0,08;Regular Air;1198,97;195,99;3,99;Clay Rozendal;Nunavut;Nunavut;Corporate;Technology;Telephones and Communication;R380;Small Box;0,58;12/07/2011
85;515;28/08/2010;Not Specified;19;394,27;0,08;Regular Air;30,94;21,78;5,94;Carlos Soltero;Nunavut;Nunavut;Consumer;Office Supplies;Appliances;Holmes HEPA Air Purifier;Medium Box;0,5;30/08/2010
97;613;17/06/2011;High;12;93,54;0,03;Regular Air;-54,04;7,3;7,72;Carl Jackson;Nunavut;Nunavut;Corporate;Office Supplies;Binders and Binder Accessories;Angle-D Binders with Locking Rings, Label Holders;Small Box;0,38;17/06/2011
103;643;24/03/2011;High;21;2781,82;0,07;Express Air;-695,26;138,14;35;Monica Federle;Nunavut;Nunavut;Corporate;Office Supplies;Storage & Organization;SAFCO Commercial Wire Shelving, Black;Large Box;;25/03/2011
107;678;26/02/2010;Low;44;228,41;0,07;Regular Air;-226,36;4,98;8,33;Dorothy Badders;Nunavut;Nunavut;Home Office;Office Supplies;Paper;Xerox 198;Small Box;0,38;26/02/2010
127;807;23/11/2010;Medium;45;196,85;0,01;Regular Air;-166,85;4,28;6,18;Neola Schneider;Nunavut;Nunavut;Home Office;Office Supplies;Paper;Xerox 1980;Small Box;0,4;24/11/2010
134;868;08/06/2012;Not Specified;32;716,84;0;Regular Air;134,72;21,78;5,94;Carlos Daly;Nunavut;Nunavut;Home Office;Office Supplies;Appliances;Holmes HEPA Air Purifier;Medium Box;0,5;09/06/2012
149;933;04/08/2012;Not Specified;15;80,61;0,02;Regular Air;-4,72;5,28;2,99;Claudia Miner;Nunavut;Nunavut;Small Business;Office Supplies;Binders and Binder Accessories;"Wilson Jones 1"" Hanging DublLock© Ring Binders";Small Box;0,37;04/08/2012
160;995;30/05/2011;Medium;46;1815,49;0,03;Regular Air;782,91;39,89;3,04;Neola Schneider;Nunavut;Nunavut;Home Office;Furniture;Office Furnishings;Ultra Commercial Grade Dual Valve Door Closer;Wrap Bag;0,53;31/05/2011
161;998;25/11/2009;Not Specified;16;248,26;0,07;Regular Air;93,80;15,74;1,39;Allen Rosenblatt;Nunavut;Nunavut;Small Business;Office Supplies;Envelopes;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";Small Box;0,4;26/11/2009
175;1154;14/02/2012;Critical;44;4462,23;0,04;Delivery Truck;440,72;100,98;26,22;Sylvia Foulston;Nunavut;Nunavut;Home Office;Furniture;Bookcases;Hon 4-Shelf Metal Bookcases;Jumbo Box;0,6;16/02/2012
203;1344;15/04/2012;Low;15;834,904;0,06;Regular Air;-11,68;65,99;5,26;Jim Radford;Nunavut;Nunavut;Corporate;Technology;Telephones and Communication;g520;Small Box;0,59;22/04/2012
213;1412;12/03/2010;Not Specified;13;59,03;0,1;Express Air;26,92;3,69;0,5;Carlos Soltero;Nunavut;Nunavut;Consumer;Office Supplies;Labels;Avery 52;Small Box;0,38;14/03/2010
229;1539;09/03/2011;Low;33;511,83;0,1;Regular Air;-172,88;15,99;13,18;Carl Ludwig;Nunavut;Nunavut;Corporate;Office Supplies;Binders and Binder Accessories;"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""";Small Box;0,37;11/03/2011
231;1540;04/08/2012;High;30;80,9;0,09;Regular Air;5,76;2,88;0,7;Don Miller;Nunavut;Nunavut;Home Office;Office Supplies;Pens & Art Supplies;Newell 335;Wrap Bag;0,56;06/08/2012
249;1702;06/05/2011;High;23;67,24;0,06;Regular Air;4,90;2,84;0,93;Annie Cyprus;Nunavut;Nunavut;Home Office;Office Supplies;Pens & Art Supplies;SANFORD Liquid Accent? Tank-Style Highlighters;Wrap Bag;0,54;07/05/2011
250;1761;23/12/2010;High;25;12028,23;0,01;Delivery Truck;-547,61;449,99;49;Carl Ludwig;Nunavut;Nunavut;Corporate;Technology;Copiers and Fax;Canon PC940 Copier;Jumbo Drum;0,38;25/12/2010
256;1792;08/11/2010;Low;28;370,48;0,04;Regular Air;-5,45;13,48;4,51;Carlos Soltero;Nunavut;Nunavut;Consumer;Office Supplies;Storage & Organization;Tenex Personal Project File with Scoop Front Design, Black;Small Box;0,59;13/11/2010
330;2275;21/10/2012;Not Specified;49;278;0,08;Regular Air;41,67;6,08;1,17;Grant Carroll;Nunavut;Nunavut;Small Business;Office Supplies;Pens & Art Supplies;Col-Erase© Pencils with Erasers;Wrap Bag;0,56;22/10/2012
331;2277;01/01/2011;Not Specified;10;66,54;0,01;Regular Air;-46,03;5,98;4,38;Don Miller;Nunavut;Nunavut;Home Office;Technology;Computer Peripherals;"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack";Small Pack;0,75;02/01/2011
362;2532;10/10/2011;High;39;282,07;0,03;Regular Air;140,01;7,31;0,49;Alan Barnes;Nunavut;Nunavut;Corporate;Office Supplies;Labels;Self-Adhesive Address Labels for Typewriters by Universal;Small Box;0,38;11/10/2011
381;2631;23/09/2010;Low;27;1078,49;0,08;Regular Air;252,66;40,96;1,99;Jack Garza;Nunavut;Nunavut;Corporate;Technology;Computer Peripherals;Fuji 5.2GB DVD-RAM;Small Pack;0,55;25/09/2010
406;2757;19/07/2011;Critical;39;3554,46;0,07;Delivery Truck;-1766,01;95,95;74,35;Julia West;Nunavut;Nunavut;Corporate;Furniture;Chairs & Chairmats;Bevis Steel Folding Chairs;Jumbo Drum;0,57;19/07/2011
